method,params,val_accuracy,test_accuracy
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 50, 'weight_positives': True}",0.6450661035091271,0.5897515431620087
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': False}",0.54685104290219,0.6123639070690778
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': False}",0.6939277345445077,0.6382642141505629
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 20, 'batch_size': 200, 'weight_positives': False}",0.6691353024560998,0.6021588758956543
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0005, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 100, 'weight_positives': True}",0.6635519426042178,0.5255125779335588
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0005, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 100, 'weight_positives': True}",0.643822142505858,0.5987158410620677
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.0005, 'dropout_prob': 0.3, 'n_epochs': 50, 'batch_size': 100, 'weight_positives': True}",0.6421731709433852,0.6204286733459474
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 100, 'weight_positives': False}",0.7603494662539416,0.6966407146623653
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 100, 'weight_positives': False}",0.7290479358926142,0.6759204689971773
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 100, 'weight_positives': False}",0.708594902652819,0.6374887558547101
NeuralNet,"{'n_hidden': 200, 'n_layers': 1, 'learning_rate': 0.005, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 50, 'weight_positives': False}",0.7257499927676685,0.648903501969664
NeuralNet,"{'n_hidden': 200, 'n_layers': 1, 'learning_rate': 0.005, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 50, 'weight_positives': False}",0.6875343535742182,0.6909953782685567
NeuralNet,"{'n_hidden': 200, 'n_layers': 1, 'learning_rate': 0.005, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 50, 'weight_positives': False}",0.6875343535742182,0.6110301188002109
NeuralNet,"{'n_hidden': 100, 'n_layers': 3, 'learning_rate': 0.01, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 100, 'weight_positives': False}",0.7034454826857985,0.6938800831291293
NeuralNet,"{'n_hidden': 100, 'n_layers': 3, 'learning_rate': 0.01, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 100, 'weight_positives': False}",0.7577747562704313,0.7206799218338037
NeuralNet,"{'n_hidden': 100, 'n_layers': 3, 'learning_rate': 0.01, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 100, 'weight_positives': False}",0.7087106199554488,0.6822482086913365
NeuralNet,"{'n_hidden': 400, 'n_layers': 2, 'learning_rate': 0.001, 'dropout_prob': 0.3, 'n_epochs': 100, 'batch_size': 50, 'weight_positives': False}",0.6976596175543148,0.6422655789571637
