method,params,val_accuracy,test_accuracy
NeuralNet,"{'n_hidden': 50, 'n_layers': 2, 'learning_rate': 0.005, 'dropout_prob': 0.5, 'n_epochs': 100, 'batch_size': 100}",0.7012757832614922,0.6814727503954837
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.0005, 'dropout_prob': 0.5, 'n_epochs': 100, 'batch_size': 50}",0.6866086151531807,0.6742764974099692
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.0005, 'dropout_prob': 0.5, 'n_epochs': 100, 'batch_size': 50}",0.7188358839355454,0.7057290858897608
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.0005, 'dropout_prob': 0.5, 'n_epochs': 100, 'batch_size': 50}",0.6887783145774871,0.6719501225224107
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 100}",0.7074666589521797,0.6331772077297683
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 100}",0.7187201666329158,0.6805732187722944
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 100}",0.7190383892151474,0.6486863736468252
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 20, 'batch_size': 100}",0.6555963780484276,0.6322776761065789
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 20, 'batch_size': 100}",0.684207481123615,0.660628431402959
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 20, 'batch_size': 100}",0.4771892267191251,0.5258227612518999
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 200}",0.7462030260074638,0.7005180061416296
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 200}",0.7460005207278619,0.6971990446353795
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 200}",0.6831949547256054,0.6778125872390582
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 200}",0.7635606214019152,0.7191290052420981
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 200}",0.732056585760986,0.699525419522938
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 200}",0.7356727514681631,0.6861255001706007
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.001, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 100}",0.6844389157288744,0.670399205930705
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.001, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 100}",0.7356727514681634,0.6861255001706008
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.001, 'dropout_prob': 0.3, 'n_epochs': 20, 'batch_size': 100}",0.6858853820117453,0.699525419522938
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 50}",0.6719414470448694,0.6632029529451905
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 50}",0.704168715827234,0.6585502031700735
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.005, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 50}",0.6866086151531807,0.6993082912000993
NeuralNet,"{'n_hidden': 200, 'n_layers': 3, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 100}",0.6543813463708161,0.6435993672260305
NeuralNet,"{'n_hidden': 200, 'n_layers': 3, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 100}",0.7166661845112391,0.6366202425633549
NeuralNet,"{'n_hidden': 200, 'n_layers': 3, 'learning_rate': 0.001, 'dropout_prob': 0.2, 'n_epochs': 50, 'batch_size': 100}",0.6565510457951225,0.6366202425633549
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 100, 'batch_size': 50}",0.7063384152515404,0.6892273333540122
NeuralNet,"{'n_hidden': 100, 'n_layers': 2, 'learning_rate': 0.0001, 'dropout_prob': 0.5, 'n_epochs': 100, 'batch_size': 50}",0.7217288165012872,0.7134836688482893
